header;url;nb_points;theme;duree;sujet_url;correction_url
Mesures dépaisseur;https://labolycee.org/mesures-depaisseur;5 points;Tale Spécialité Physique Chimie | Circuits RC | Lunette astronomique;55 minutes;https://www.labolycee.org/sites/default/files/2022-01/2021-06-Metro-ExoB-Sujet2-Microscope-RC-5pts_0.pdf;https://www.labolycee.org/sites/default/files/2022-01/2021-06-Metro-ExoB-Sujet2-Microscope-RC-5pts-Correction.pdf
La physique au service de laérogommage;https://labolycee.org/la-physique-au-service-de-laerogommage;10 points;Tale Spécialité Physique Chimie | Interférences;30 minutes;https://www.labolycee.org/sites/default/files/2026-04/2025-11-NelleCaledonie-SI-ExoA-Sujet-Aerogommage-Interferences.pdf;https://www.labolycee.org/sites/default/files/2026-06/2025-11-NelleCaledonie-SI-ExoA-Correction-Aerogommage-Interferences.pdf
La couleur des scarabées;https://labolycee.org/la-couleur-des-scarabees;5 points;Tale Spécialité Physique Chimie | Interférences | Python;53 minutes;https://www.labolycee.org/sites/default/files/2025-12/2025-09-Metropole-J2-Exo2-Sujet-InterferencesScarabee-5pts2.pdf;https://www.labolycee.org/sites/default/files/2026-01/2025-09-Metropole-J2-Exo2-Correction-InterferencesScarabee-5pts.pdf
Mesure de lépaisseur dun film alimentaire;https://labolycee.org/mesure-de-lepaisseur-dun-film-alimentaire;11 points;Tale Spécialité Physique Chimie | Circuits RC | Interférences;1 heure 15 minutes;https://www.labolycee.org/sites/default/files/2026-07/2025-Metro-J2-Exo1-Sujet-FilmAlimentaire-11pts.pdf;https://www.labolycee.org/sites/default/files/2025-06/2025-Metro-J2-Exo1-Correction-FilmAlimentaire-11pts.pdf
Le trombone de Koenig;https://labolycee.org/le-trombone-de-koenig;5 points;Tale Spécialité Physique Chimie | Interférences | Python;53 minutes;https://www.labolycee.org/sites/default/files/2025-06/2025-CtresEtrangers1-J2-Exo2-Sujet-TrombonneKoenig-5pts.pdf;https://www.labolycee.org/sites/default/files/2025-06/2025-CtresEtrangers1-J2-Exo2-Correction-TrombonneKoenig-5pts.pdf
Micro-usinage par interférences laser;https://labolycee.org/micro-usinage-par-interferences-laser;10 points;Tale Spécialité Physique Chimie | Interférences;30 minutes;https://www.labolycee.org/sites/default/files/2025-06/2024-09-Metro-SI-ExoB-Sujet-Interferences-10pts-30min.pdf;https://www.labolycee.org/sites/default/files/2025-06/2024-09-Metro-SI-ExoB-Correction-Interferences-10pts-30min.pdf
Tissage dune voile de bateau;https://labolycee.org/tissage-dune-voile-de-bateau;11 points;Tale Spécialité Physique Chimie | Interférences;1 heure 35 minutes;https://www.labolycee.org/sites/default/files/2025-10/2024-Asie-J2-Exo1-Sujet-VoileInterferences-11pts.pdf;https://www.labolycee.org/sites/default/files/2024-06/2024-Asie-J2-Exo1-Correction-VoileInterferences-11pts_5.pdf
Résolution dun écran de smartphone;https://labolycee.org/resolution-dun-ecran-de-smartphone;10 points;Tale Spécialité Physique Chimie | Interférences;30 minutes;https://www.labolycee.org/sites/default/files/2025-09/2024-CtresEtrangers1-SI-J2-ExoA-Sujet-InterferencesSmartphone-10pts-30min.pdf;https://www.labolycee.org/sites/default/files/2024-06/2024-CtresEtrangers1-SI-J2-ExoA-Correction-InterferencesSmartphone-10pts-30min.pdf
Les ondes gravitationnelles détectées par interférométrie;https://labolycee.org/les-ondes-gravitationnelles-detectees-par-interferometrie;10 points;Tale Spécialité Physique Chimie | Interférences;30 minutes;https://www.labolycee.org/sites/default/files/2024-04/2022-NelleCaledo-SI-J1-Exo3-Sujet-InterferencesVirgo-10pts.pdf;https://www.labolycee.org/sites/default/files/2022-12/2022-NelleCaledo-SI-J1-Exo3-Correction-InterferencesVirgo-10pts.pdf
Lexpérience des trous de Young;https://labolycee.org/lexperience-des-trous-de-young;5 points;Tale Spécialité Physique Chimie | Interférences;53 minutes;https://www.labolycee.org/sites/default/files/2024-12/2022-Asie-J1-ExoC-Sujet-TrousYoung-5pts.pdf;https://www.labolycee.org/sites/default/files/2024-12/2022-Asie-J1-ExoC-Correction-TrousYoung-5pts.pdf
Qualité découte dune enceinte bluetooth;https://labolycee.org/qualite-decoute-dune-enceinte-bluetooth;10 points;Tale Spécialité Physique Chimie | Interférences;30 minutes;https://www.labolycee.org/sites/default/files/2024-04/2022-09-SI-Metro-J1-ExoC-Sujet-EnceinteInterferences-10pts.pdf;https://www.labolycee.org/sites/default/files/2023-01/2022-09-SI-Metro-J1-ExoC-Correction-EnceinteInterferences-10pts.pdf
Intervalle entre les buses dune tête dimpression;https://labolycee.org/intervalle-entre-les-buses-dune-tete-dimpression;10 points;Tale Spécialité Physique Chimie | Interférences;30 minutes;https://www.labolycee.org/sites/default/files/2024-04/2022-Metropole-SI-J2-ExoB-Sujet-InterferenceImprimante-10pts.pdf;https://www.labolycee.org/sites/default/files/2023-03/2022-Metropole-SI-J2-ExoB-Correction-InterferenceImprimante-10pts.pdf
La physique du son sur un mobile multifonction (téléphone portable);https://labolycee.org/la-physique-du-son-sur-un-mobile-multifonction-telephone-portable;10 points;Tale Spécialité Physique Chimie | Interférences;30 minutes;https://www.labolycee.org/sites/default/files/2024-03/2022-Metropole-SI-J1-ExoC-Sujet-SonMobile-5pts.pdf;https://www.labolycee.org/sites/default/files/2022-06/2022-Metropole-SI-J1-ExoC-Correction-SonMobile-5pts.pdf
Enregistrement sonore en stéréophonie;https://labolycee.org/enregistrement-sonore-en-stereophonie;3 points;Tale Spécialité Physique Chimie | Interférences;30 minutes;https://www.labolycee.org/sites/default/files/2022-01/2021-06-Metro-SI-Sujet2-ExoC-Interferences.pdf;https://www.labolycee.org/sites/default/files/2022-04/2021-06-Metro-SI-Sujet2-ExoC-Interferences-Correction.pdf
Apprentissage du saut en parachute;https://labolycee.org/apprentissage-du-saut-en-parachute;10 points;Tale Spécialité Physique Chimie | intensité sonore | Interférences | Mouvement dans un champ de pesanteur uniforme;1 heure 45 minutes;https://www.labolycee.org/sites/default/files/2026-01/2021-CentresEtrangers-Exo1-Sujet-SautParachute-10pts.pdf;
Leffet photoélectrique et ses applications;https://labolycee.org/leffet-photoelectrique-et-ses-applications;6 points;Tale Spécialité Physique Chimie | Effet photoélectrique;1 heure 3 minutes;https://www.labolycee.org/sites/default/files/2026-06/2026-AmNord-J1-Exo2-Sujet-EffetPhotoelectrique-6pts_0.pdf;https://www.labolycee.org/sites/default/files/2026-05/2026-AmNord-J1-Exo2-Correction-EffetPhotoelectrique-6pts_0.pdf
Transition énergétique;https://labolycee.org/transition-energetique;4 points;Tale Spécialité Physique Chimie | Effet photoélectrique;20 minutes;https://www.labolycee.org/sites/default/files/2026-04/2025-09-Metro-SI-J1-ExoA-Sujet-PanneauxPhotovoltaiques.pdf;https://www.labolycee.org/sites/default/files/2026-04/2025-09-Metro-SI-J1-ExoA-Correction-PanneauxPhotovoltaiques.pdf
Chargeur solaire;https://labolycee.org/chargeur-solaire;10 points;Tale Spécialité Physique Chimie | Effet photoélectrique;30 minutes;https://www.labolycee.org/sites/default/files/2024-08/2024-Metro-SI-J2-ExoB-Sujet-Chargeur-solaire-10pts-30min.pdf;https://www.labolycee.org/sites/default/files/2026-05/2024-Metro-SI-J2-ExoB-Correction-EffetPhotoelectrique-10pts-30min.pdf
Les cellules photovoltaïques multi-jonctions;https://labolycee.org/les-cellules-photovoltaiques-multi-jonctions;5 points;Bac S 2013-2020 | Spécialité | Matériaux | Tale Spécialité Physique Chimie | Effet photoélectrique;50 minutes;https://www.labolycee.org/sites/default/files/exos/sujets/2017/2017-11-NelleCaledo-Spe-Exo3-Sujet-CellulesPhotovoltaiquesMultijonctions-5pts.pdf;https://www.labolycee.org/sites/default/files/exos/corriges/2017/2017-11-NelleCaledo-Spe-Exo3-Correction-CellulesPhotovoltaiquesMultijonctions-5pts.pdf
Des alternatives aux lampes à incandescence;https://labolycee.org/des-alternatives-aux-lampes-incandescence;5 points;Bac S 2013-2020 | Spécialité | Matériaux | Tale Spécialité Physique Chimie | Effet photoélectrique;50 minutes;https://www.labolycee.org/sites/default/files/exos/sujets/2016/2016-11-NelleCaledo-Spe-Exo3-Sujet-LED-5pts.pdf;https://www.labolycee.org/sites/default/files/exos/corriges/2016/2016-11-NelleCaledo-Spe-Exo3-Correction-LED-5pts.pdf
Paiement sans contact;https://labolycee.org/paiement-sans-contact;5 points;Tale Spécialité Physique Chimie | Circuits RC;53 minutes;https://www.labolycee.org/sites/default/files/2025-06/2025-Asie-J2-Exo3-Sujet-CBRC-5pts.pdf;https://www.labolycee.org/sites/default/files/2025-06/2025-Asie-J2-Exo3-Correction-CBRC-5pts.pdf
Capteur darrosage capacitif;https://labolycee.org/capteur-darrosage-capacitif;6 points;Tale Spécialité Physique Chimie | Circuits RC | Python;1 heure 3 minutes;https://www.labolycee.org/sites/default/files/2025-09/2023-NelleCaledo-J1-Exo3-Sujet-RCHumidite-6pts.pdf;
Extraction du gaz de schiste par électro-fracturation;https://labolycee.org/extraction-du-gaz-de-schiste-par-electro-fracturation;6 points;Tale Spécialité Physique Chimie | Circuits RC;1 heure 3 minutes;https://www.labolycee.org/sites/default/files/2024-06/2023-Reunion-J1-Exo3-Sujet-ElectrofracturationRC-6pts.pdf;https://www.labolycee.org/sites/default/files/2023-06/2023-Reunion-J1-Exo3-Correction-ElectrofracturationRC-6pts.pdf
Modélisation dun détecteur capacitif dhumidité;https://labolycee.org/modelisation-dun-detecteur-capacitif-dhumidite;6 points;Tale Spécialité Physique Chimie | Circuits RC | Python;1 heure 3 minutes;https://www.labolycee.org/sites/default/files/2025-09/2023-Metropole-J2-Exo3-Sujet-DetecteurCapacitif-6pts.pdf;https://www.labolycee.org/sites/default/files/2025-09/2023-Metropole-J2-Exo3-Correction-DetecteurCapacitif-6pts.pdf
Microphone électrostatique;https://labolycee.org/microphone-electrostatique;5 points;Tale Spécialité Physique Chimie | Circuits RC | intensité sonore;53 minutes;https://www.labolycee.org/sites/default/files/2024-04/2023-Polynesie-J2-Exo2-Sujet-RC-Micro-5pts.pdf;https://www.labolycee.org/sites/default/files/2023-03/2023-Polynesie-J2-Exo2-Correction-RCMicrophone-5pts_0.pdf
Défibrillateur cardiaque implantable;https://labolycee.org/defibrillateur-cardiaque-implantable-0;5 points;Tale Spécialité Physique Chimie | Circuits RC;53 minutes;https://www.labolycee.org/sites/default/files/2024-04/2022-Amsud-J1-ExoB-Sujet-RC-Defibrillateur-5pts.pdf;https://www.labolycee.org/sites/default/files/2022-12/2022-Amsud-J1-ExoB-Correction-RC-Defibrillateur-5pts.pdf
Anatomie dun condensateur;https://labolycee.org/anatomie-dun-condensateur;5 points;Tale Spécialité Physique Chimie | Circuits RC;53 minutes;https://www.labolycee.org/sites/default/files/2025-04/2022-NelleCaledo-J2-ExoC-Sujet-RC-5pts.pdf;https://www.labolycee.org/sites/default/files/2025-04/2022-NelleCaledo-J2-ExoC-Correction-RC-5pts.pdf
Des supercondensateurs pour recharger un bus électrique;https://labolycee.org/des-supercondensateurs-pour-recharger-un-bus-electrique;5 points;Tale Spécialité Physique Chimie | Circuits RC;53 minutes;https://www.labolycee.org/sites/default/files/2024-11/2022-AmNord-J1-ExoB-Sujet-RC-SuperCBus-5pts.pdf;https://www.labolycee.org/sites/default/files/2026-04/2022-AmNord-J1-ExoB-Correction-RC-SuperCBus-5pts.pdf
Un radar de contrôle de vitesses;https://labolycee.org/un-radar-de-controle-de-vitesses;5 points;Tale Spécialité Physique Chimie | Circuits RC;53 minutes;https://www.labolycee.org/sites/default/files/2025-05/2022-AmNord-J2-ExoB-Sujet-RC-Flash-5pts.pdf;https://www.labolycee.org/sites/default/files/2026-06/2022-AmNord-J2-ExoB-Correction-RC-Flash-5pts.pdf
Un capteur capacitif;https://labolycee.org/un-capteur-capacitif;5 points;Tale Spécialité Physique Chimie | Circuits RC;53 minutes;https://www.labolycee.org/sites/default/files/2022-06/2022-Polynesie-J2-ExoA-Sujet-Capteur%20capacitif-5pts.pdf;https://www.labolycee.org/sites/default/files/2022-05/2022-Polynesie-J2-ExoA-Correction-Capteur%20capacitif-5pts.pdf
Défibrillateur cardiaque;https://labolycee.org/defibrillateur-cardiaque-0;5 points;Tale Spécialité Physique Chimie | Circuits RC;53 minutes;https://www.labolycee.org/sites/default/files/2024-06/2022-Metropole-J1-ExoC-Sujet-DefibrillateurCardiaqueRC-5pts.pdf;https://www.labolycee.org/sites/default/files/2022-05/2022-Metropole-J1-ExoC-Correction-DefibrillateurCardiaqueRC-5pts.pdf
Les supercondensateurs;https://labolycee.org/les-supercondensateurs;5 points;Tale Spécialité Physique Chimie | Circuits RC;55 minutes;https://www.labolycee.org/sites/default/files/2022-03/2021-Liban-Sujet1-ExoA-Sujet-Supercondensateur-5pts.pdf;https://www.labolycee.org/sites/default/files/2022-03/2021-Liban-Sujet1-ExoA-Correction-Supercondensateur-5pts.pdf
Sécurité acoustique;https://labolycee.org/securite-acoustique-0;5 points;Tale Spécialité Physique Chimie | intensité sonore;53 minutes;https://www.labolycee.org/sites/default/files/2026-06/2026-Asie-J1-Exo3-Sujet-SecuriteAcoustique-5pts.pdf;https://www.labolycee.org/sites/default/files/2026-06/2026-Asie-J1-Exo3-Correction-SecuriteAcoustique-5pts_0.pdf
Niveau sonore dans une salle de classe;https://labolycee.org/niveau-sonore-dans-une-salle-de-classe;10 points;Tale Spécialité Physique Chimie | intensité sonore;30 minutes;https://www.labolycee.org/sites/default/files/2026-06/2026-Metro-J2-SI-ExoA-Sujet-Salledeclasse.pdf;https://www.labolycee.org/sites/default/files/2026-06/2026-Metro-J2-SI-ExoA-Correction-Salledeclasse.pdf
Ariane 6 : un déluge deau pour se protéger du bruit;https://labolycee.org/ariane-6-un-deluge-deau-pour-se-proteger-du-bruit;10 points;Tale Spécialité Physique Chimie | intensité sonore;30 minutes;https://www.labolycee.org/sites/default/files/2025-06/2025-Metro-SI-J2-ExoA-Sujet-Ariane.pdf;https://www.labolycee.org/sites/default/files/2025-06/2025-Metro-SI-J2-ExoA-Correction-Ariane_0.pdf
Sécurité acoustique;https://labolycee.org/securite-acoustique;5 points;Tale Spécialité Physique Chimie | intensité sonore;53 minutes;https://www.labolycee.org/sites/default/files/2024-06/2024-CtresEtrangers1Bis-Exo2-Sujet-SecuriteAcoustique-5ts_0.pdf;https://www.labolycee.org/sites/default/files/2024-06/2024-CtresEtrangers1bis-Exo2-Correction-SecuriteAcoustique-5pts.pdf
Comment sentendre le jour de la fête de la musique ?;https://labolycee.org/comment-sentendre-le-jour-de-la-fete-de-la-musique;10 points;Tale Spécialité Physique Chimie | intensité sonore;30 minutes;https://www.labolycee.org/sites/default/files/2024-02/2023-NelleCaledo-SI-J1-ExoA-Sujet-SonFeteMusique-30min-10pts.pdf;https://www.labolycee.org/sites/default/files/2024-11/2023-NelleCaledo-SI-J1-ExoA-Correction-SonFeteMusique-30min-10pts_0.pdf
Fête de la musique;https://labolycee.org/fete-de-la-musique;5 points;Tale Spécialité Physique Chimie | intensité sonore;53 minutes;https://www.labolycee.org/sites/default/files/2024-02/2023-NelleCaledo-J2-Exo2-Sujet-DJSon-5pts.pdf;
Un jet de 7 mètres au hand-ball;https://labolycee.org/un-jet-de-7-metres-au-hand-ball;11 points;Tale Spécialité Physique Chimie | intensité sonore | Mouvement dans un champ de pesanteur uniforme;1 heure 56 minutes;https://www.labolycee.org/sites/default/files/2024-08/2023-Liban-J1-Exo1-Sujet-Handball-11pts.pdf;https://www.labolycee.org/sites/default/files/2025-06/2023-Liban-J1-Exo1-Correction-Handball-11pts.pdf
La méduse : radar anti-bruit;https://labolycee.org/la-meduse-radar-anti-bruit;10 points;Tale Spécialité Physique Chimie | intensité sonore;30 minutes;https://www.labolycee.org/sites/default/files/2024-04/2023-Metropole-SI-J2-ExoA-Sujet-RadarAntibruit-10pts-30min.pdf;https://www.labolycee.org/sites/default/files/2023-03/2023-Metropole-SI-J2-ExoA-Correction-AntiBruit-10pts-30min.pdf
Pompe à chaleur et habitation;https://labolycee.org/pompe-chaleur-et-habitation;5 points;Tale Spécialité Physique Chimie | intensité sonore | Thermodynamique;53 minutes;https://www.labolycee.org/sites/default/files/2024-04/2023-Polynesie-J1-Exo3-Sujet-PAC-L-5pts.pdf;https://www.labolycee.org/sites/default/files/2024-04/2023-Polynesie-J1-Exo3-Correction-PAC-L-5pts.pdf
Utilisation dun avertisseur sonore;https://labolycee.org/utilisation-dun-avertisseur-sonore;10 points;Tale Spécialité Physique Chimie | intensité sonore;30 minutes;https://www.labolycee.org/sites/default/files/2025-08/2022-NelleCaledo-SI-J2-Exo2-Sujet-GyropodeKlaxxon-10pts.pdf;https://www.labolycee.org/sites/default/files/2022-12/2022-NelleCaledo-SI-J2-Exo2-Correction-GyropodeKlaxxon-10pts.pdf
Nos oreilles on y tient !;https://labolycee.org/nos-oreilles-y-tient;5 points;Tale Spécialité Physique Chimie | intensité sonore;53 minutes;https://www.labolycee.org/sites/default/files/2024-04/2022-Polynesie-J2-ExoC-Sujet-ProtectionAudition-5pts.pdf;https://www.labolycee.org/sites/default/files/2022-05/2022-Polynesie-J2-ExoC-Correction-ProtectionAudition-5pts.pdf
Cave à vin;https://labolycee.org/cave-vin;5 points;Tale Spécialité Physique Chimie | intensité sonore | Thermodynamique;53 minutes;https://www.labolycee.org/sites/default/files/2022-04/2021-Asie-Sujet2-ExoA-CaveVin-Thermo-Att%C3%A9nuation-5pts.pdf;https://www.labolycee.org/sites/default/files/2022-04/2021-Asie-Sujet2-ExoA-Correction-CaveVin-Thermo-Att%C3%A9nuation-5pts.pdf
Nuisances sonores dun aéroport;https://labolycee.org/nuisances-sonores-dun-aeroport;5 points;Tale Spécialité Physique Chimie | intensité sonore;55 minutes;https://www.labolycee.org/sites/default/files/2022-11/2021-Polynesie-Sujet-ExoA-NuisancesSonoresAeroport-5pts.pdf;https://www.labolycee.org/sites/default/files/2024-01/2021-Polynesie-Correction-ExoA-NuisancesSonoresAeroport-5pts.pdf
De la musique dans le calme;https://labolycee.org/de-la-musique-dans-le-calme;3 points;Tale Spécialité Physique Chimie | intensité sonore | Interférences;30 minutes;https://www.labolycee.org/sites/default/files/2022-01/2021-06-Metro-SI-Sujet1-ExoC-MusiqueDsCalme.pdf;https://www.labolycee.org/sites/default/files/2022-01/2021-06-Metro-SI-Sujet1-ExoC-MusiqueDsCalme-Correction.pdf
Nuisances sonores dun drone;https://labolycee.org/nuisances-sonores-dun-drone;3 points;Tale Spécialité Physique Chimie | intensité sonore;30 minutes;https://www.labolycee.org/sites/default/files/2021-06/2021-03-Metro-SI-Sujet2-ExoC-NuisancesSonores.pdf;https://www.labolycee.org/sites/default/files/2021-06/2021-03-Metro-SI-Sujet2-ExoC-NuisancesSonores-Correction.pdf
Niveaux dintensité sonore;https://labolycee.org/niveaux-dintensite-sonore;3 points;Tale Spécialité Physique Chimie | intensité sonore;30 minutes;https://www.labolycee.org/sites/default/files/2021-06/2021-03-Metro-SI-Sujet1-ExoC-AttenuationSonore.pdf;https://www.labolycee.org/sites/default/files/2021-06/2021-03-Metro-SI-Sujet1-ExoC-AttenuationSonore-Correction.pdf
Un sport traditionnel : le lancer de gerbe de paille;https://labolycee.org/un-sport-traditionnel-le-lancer-de-gerbe-de-paille;10 points;Tale Spécialité Physique Chimie | Circuits RC | intensité sonore | Mouvement dans un champ de pesanteur uniforme;1 heure 15 minutes;https://www.labolycee.org/sites/default/files/2022-03/2021-AmNord-Sujet1-Exo1-LancerGerbe10pts.pdf;https://www.labolycee.org/sites/default/files/2022-03/2021-AmNord-Sujet1-Exo1-LancerGerbe-10pts-Correction.pdf
datation;https://labolycee.org/datation-0;4 points;Tale Spécialité Physique Chimie | Nucléaire;42 minutes;https://www.labolycee.org/sites/default/files/2026-06/2026-Asie-J2-Exo2-Sujet-DatationLune-4pts.pdf;https://www.labolycee.org/sites/default/files/2026-06/2026-Asie-J2-Exo2-Correction-DatationLune-4pts.pdf
Pollution acoustique dans une web radio;https://labolycee.org/pollution-acoustique-dans-une-web-radio;3 points;Tale Spécialité Physique Chimie | intensité sonore;30 minutes;https://www.labolycee.org/sites/default/files/2024-04/2021-Sujet-Zero-SI-ExoC-Sujet-PollutionAcoustique-30minutes.pdf;https://www.labolycee.org/sites/default/files/2021-06/2021-Sujet-Zero-SI-ExoC-CorrectionOfficielle-PollutionAcoustique-30minutes.pdf
Utilisation médicale du technétium;https://labolycee.org/utilisation-medicale-du-technetium;6 points;Tale Spécialité Physique Chimie | Nucléaire;1 heure 3 minutes;https://www.labolycee.org/sites/default/files/2025-09/2025-09-Metro-J2-Secours-Exo3-Sujet-Scintigraphie-6pts.pdf;https://www.labolycee.org/sites/default/files/2026-04/2025-09-Metro-J2-Secours-Exo3-Correction-Scintigraphie-6pts_0.pdf
Combustible MOX pour limiter les déchets radioactifs;https://labolycee.org/combustible-mox-pour-limiter-les-dechets-radioactifs;5 points;Tale Spécialité Physique Chimie | Nucléaire;53 minutes;https://www.labolycee.org/sites/default/files/2025-05/2025-AmNord-J2-Exo2-Sujet-MOX-5pts.pdf;https://www.labolycee.org/sites/default/files/2025-06/2025-AmNord-J2-Exo2-MOX-5pts-Correction.pdf
Plongeon de haut vol;https://labolycee.org/plongeon-de-haut-vol;9 points;Tale Spécialité Physique Chimie | Mouvement dans un champ de pesanteur uniforme | Python;1 heure 35 minutes;https://www.labolycee.org/sites/default/files/2024-09/2023-CtresEtrangers1-J2-Exo1-Sujet-Plongeon-11pts.pdf;https://www.labolycee.org/sites/default/files/2023-03/2023-CtresEtrangers1-J2-Exo1-Correction-Plongeon-11pts_4.pdf
Une table de tennis de table connectée;https://labolycee.org/une-table-de-tennis-de-table-connectee;5 points;Tale Spécialité Physique Chimie | Mouvement dans un champ de pesanteur uniforme | Python;53 minutes;https://www.labolycee.org/sites/default/files/2024-11/2022-CentresEtrangers2-J1-ExoB-Sujet-PingPong-5pts.pdf;https://www.labolycee.org/sites/default/files/2024-09/2022-CentresEtrangers2-J1-ExoB-Correction-PingPong-5pts.pdf
Lépaisseur du matelas du saut à la perche;https://labolycee.org/lepaisseur-du-matelas-du-saut-la-perche;5 points;Tale Spécialité Physique Chimie | Mouvement dans un champ de pesanteur uniforme | Python;53 minutes;https://www.labolycee.org/sites/default/files/2025-11/2022-AmNord-J1-ExoA-Sujet-Perche-5pts.pdf;https://www.labolycee.org/sites/default/files/2026-01/2022-AmNord-J1-ExoA-Correction-Perche-5pts.pdf
Datation dune roche;https://labolycee.org/datation-dune-roche;6 points;Tale Spécialité Physique Chimie | Nucléaire;1 heure 3 minutes;https://www.labolycee.org/sites/default/files/2025-06/2025-Metro-J1-Exo2-Sujet-Datation-6pts.pdf;https://www.labolycee.org/sites/default/files/2025-06/2025-Metro-J1-Exo2-Correction-Datation-6pts_2.pdf
Dégradation dun produit de contraste;https://labolycee.org/degradation-dun-produit-de-contraste;5 points;Tale Spécialité Physique Chimie | Acide-Base | Cinétique | Python;53 minutes;https://www.labolycee.org/sites/default/files/2024-01/2022-CentresEtrangers1-J1-ExoC-Sujet-CinetiqueAcBase-5pts.pdf;https://www.labolycee.org/sites/default/files/2022-06/2022-CentresEtrangers1-J1-ExoC-Correction-Cinetique-AcBase-5pts.pdf
Le sel doseille;https://labolycee.org/le-sel-doseille;10 points;Tale Spécialité Physique Chimie | Acide-Base | Python | Titrage pH-métrique;1 heure 45 minutes;https://www.labolycee.org/sites/default/files/2024-01/2022-Polynesie-J2-Exo1-Sujet-SelOseille-10pts.pdf;https://www.labolycee.org/sites/default/files/2023-01/2022-Polynesie-J2-Exo1-Correction-SelOseille-10pts.pdf
Du soleil en bouteille;https://labolycee.org/du-soleil-en-bouteille;5 points;Bac S 2013-2020 | Spécialité | L'eau;55 minutes;https://www.labolycee.org/sites/default/files/2020-12/2020-NelleCaledonie-Spe-Exo3-Sujet-ElectrolyseEauSolaire.pdf;
Saut en parachute;https://labolycee.org/saut-en-parachute;11 points;Bac S 2013-2020 | Physique | Temps, cinématique, dynamique newtonienne | Mouvement dans un champ de pesanteur uniforme;2 heures;https://www.labolycee.org/sites/default/files/2021-11/2020-NelleCaledonie-Exo2-Sujet-SautParachute-11pts_0.pdf;
Le bicarbonate de sodium;https://labolycee.org/le-bicarbonate-de-sodium;5 points;Bac S 2013-2020 | Chimie;55 minutes;https://www.labolycee.org/sites/default/files/2025-05/2020-NelleCaledonie-Exo3-Sujet-Bicarbonate-5pts.pdf;https://www.labolycee.org/sites/default/files/2025-05/2020-NelleCaledonie-Exo3-Correction-Bicarbonate-5pts.pdf
Une hydrolienne à Ouessant;https://labolycee.org/une-hydrolienne-ouessant;5 points;Bac S 2013-2020 | Spécialité | L'eau;55 minutes;https://www.labolycee.org/sites/default/files/2020-10/2020-Polynesie-Sujet-Exo3-Spe-Hydrolienne-5pts.pdf;
Odeurs;https://labolycee.org/odeurs;4 points;Bac S 2013-2020 | Chimie;45 minutes;https://www.labolycee.org/sites/default/files/2021-11/2020-NelleCaledonie-Exo1-Sujet-Odeurs-4pts_1.pdf;
Détection dexoplanètes;https://labolycee.org/detection-dexoplanetes-0;5 points;Bac S 2013-2020 | Physique | Ondes et matière | Effet Doppler;55 minutes;https://www.labolycee.org/sites/default/files/2026-05/2020-Polynesie-Sujet-Exo3-Exoplanetes-5pts.pdf;https://www.labolycee.org/sites/default/files/2026-05/2020-Polynesie-Correction-Exo3-Exoplanetes-5pts.pdf
Boissons énergétiques ou énergisantes;https://labolycee.org/boissons-energetiques-ou-energisantes;9 points;Bac S 2013-2020 | Chimie;1 heure 35 minutes;https://www.labolycee.org/sites/default/files/2025-10/2020-Polynesie-Exo1-Sujet-Boisson-9pts.pdf;
Lampes à carbure de calcium;https://labolycee.org/lampes-carbure-de-calcium;5 points;Bac S 2013-2020 | Spécialité | L'eau;55 minutes;https://www.labolycee.org/sites/default/files/2020-09/2020-Metropole-Exo3-Spe-Sujet-LampesCarbureCa-5pts.pdf;https://www.labolycee.org/sites/default/files/2022-04/2020-Metropole-Exo3-Spe-Correction-LampesCarbureCa-5pts.pdf
Dosage de lammoniac dans un produit ménager;https://labolycee.org/dosage-de-lammoniac-dans-un-produit-menager;5 points;Bac S 2013-2020 | Chimie;55 minutes;https://www.labolycee.org/sites/default/files/2020-11/2020-Metropole-Exo3-Sujet-ConductiNH3-5pts.pdf;https://www.labolycee.org/sites/default/files/2020-11/2020-Metropole-Exo3-Correction-ConductiNH3-5pts.pdf
Les accélérateurs montent en puissance;https://labolycee.org/les-accelerateurs-montent-en-puissance;6 points;Bac S 2013-2020 | Physique | Temps, cinématique, dynamique newtonienne | Mouvement dans un champ électrique uniforme;1 heure 5 minutes;https://www.labolycee.org/sites/default/files/2026-04/2020-Polynesie-Exo2-Sujet-Accelerateur-6pts_0.pdf;https://www.labolycee.org/sites/default/files/2026-04/2020-Polynesie-Exo2-Correction-Accelerateur-6pts.pdf
Mesurer la profondeur de leau;https://labolycee.org/mesurer-la-profondeur-de-leau;11 points;Bac S 2013-2020 | Physique | Ondes et matière | Temps, cinématique, dynamique newtonienne;2 heures;https://www.labolycee.org/sites/default/files/2020-09/2020-Metropole-Exo2-Sujet-ProfondeurEau-11pts_0.pdf;
Une tour énergétique;https://labolycee.org/une-tour-energetique;7 points;Bac S 2013-2020 | Chimie | Physique | Transferts thermiques;1 heure 20 minutes;https://www.labolycee.org/sites/default/files/2022-03/2020-CtresEtrangers-Exo2-Sujet-TourEnergetique7-5pts.pdf;https://www.labolycee.org/sites/default/files/2022-04/2020-CtresEtrangers-Exo2-Correction-TourEnergetique7-5pts.pdf
