header;url;nb_points;theme;duree;sujet_url;correction_url
Larchipel dHawaii et les monts de lempereur;https://labolycee.org/larchipel-dhawaii-et-les-monts-de-lempereur;10 points;1ère EC Enseignement Scientifique | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-3169a-SujetHawaii.pdf;
La guitare électrique;https://labolycee.org/la-guitare-electrique;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2411b-Sujet-GuitareElectrique.pdf;
Les diamants, des mines de crayon de haute pression;https://labolycee.org/les-diamants-des-mines-de-crayon-de-haute-pression;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2406b-Sujet-GraphiteDiamant.pdf;
La forme de la Terre à lantiquité;https://labolycee.org/la-forme-de-la-terre-lantiquite;10 points;1ère EC Enseignement Scientifique | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2431b-Sujet-FormeTerre.pdf;https://www.labolycee.org/sites/default/files/2022-10/1EnsSci-2431b-Correction-FormeTerre.pdf
La formation des verres;https://labolycee.org/la-formation-des-verres;10 points;1ère EC Enseignement Scientifique | La matière;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2431a-Sujet-Verre.pdf;
Lénergie rayonnée par les étoiles et utilisation biologique du rayonnement solaire;https://labolycee.org/lenergie-rayonnee-par-les-etoiles-et-utilisation-biologique-du-rayonnement-solaire;10 points;1ère EC Enseignement Scientifique | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-3176b-Sujet-EnergieEtoile.pdf;
Lénergie lumineuse et son utilisation par les algues;https://labolycee.org/lenergie-lumineuse-et-son-utilisation-par-les-algues;10 points;1ère EC Enseignement Scientifique | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2421a-Sujet-ElumineuseAlgues.pdf;
Effet de serre et température terrestre;https://labolycee.org/effet-de-serre-et-temperature-terrestre;10 points;1ère EC Enseignement Scientifique | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-3169a-Sujet-EffetSerre.pdf;
Seul sur Mars;https://labolycee.org/seul-sur-mars;10 points;1ère EC Enseignement Scientifique | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2020-11/1EnsSci-2400a-Sujet-SeulMars.pdf;
Le Soleil, source de vie sur Terre ?;https://labolycee.org/le-soleil-source-de-vie-sur-terre;10 points;1ère EC Enseignement Scientifique | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2020-05/1EnsSci-2399b-Sujet-SoleilVie.pdf;
La sphéricité de la Terre;https://labolycee.org/la-sphericite-de-la-terre;10 points;1ère EC Enseignement Scientifique | La Terre | Le Soleil;1 heure;https://www.labolycee.org/sites/default/files/2019-08/2020-1EnsSci-Sujet0-SphericiteTerre-10pts.pdf;https://www.labolycee.org/sites/default/files/2019-12/S0BAC21-1e-COM-EnsSci-1-correction_1202467_0.pdf
Mesure du méridien terrestre;https://labolycee.org/mesure-du-meridien-terrestre;10 points;1ère EC Enseignement Scientifique | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2428a-Sujet-Meridien.pdf;
Histoire deau;https://labolycee.org/histoire-deau;10 points;1ère EC Enseignement Scientifique | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-162a-Sujet-AgeTerreEau.pdf;
Histoire de lâge de la Terre;https://labolycee.org/histoire-de-lage-de-la-terre;10 points;1ère EC Enseignement Scientifique | La matière | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-3174a-Sujet-AgeTerreHistoire.pdf;
Approche historique de lâge de la Terre;https://labolycee.org/approche-historique-de-lage-de-la-terre;10 points;1ère EC Enseignement Scientifique | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2423b-Sujet-AgeTerreKelvinBuffon.pdf;https://www.labolycee.org/sites/default/files/2022-10/1EnsSci-2423b-Correction-AgeTerreKelvinBuffon.pdf
La Terre sa composition et sa taille;https://labolycee.org/la-terre-sa-composition-et-sa-taille;10 points;1ère EC Enseignement Scientifique | La matière | La Terre;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-4048b-Sujet-Nucleosynthese-RayonTerre.pdf;
